scene_start,scene_end,audio_energy,motion_activity,speech_detected,score
821.5333333333333,822.0666666666666,889,486987,True,1778.0
822.0666666666666,824.8666666666667,1512,454070,True,3024.0
824.8666666666667,840.5333333333333,1661,980057,True,3322.0
840.5333333333333,854.9333333333333,988,758536,True,1976.0
854.9333333333333,857.5333333333333,903,408869,True,1806.0
857.5333333333333,860.6666666666666,1099,196603,True,2198.0
860.6666666666666,862.4,1028,213794,True,2056.0
862.4,867.7333333333333,853,548821,True,1706.0
867.7333333333333,869.0666666666666,655,211530,True,1310.0
869.0666666666666,872.5333333333333,905,344827,True,1810.0
872.5333333333333,874.0666666666666,1062,462528,True,2124.0
874.0666666666666,874.6,977,343888,True,1954.0
874.6,878.4666666666667,1006,644700,True,2012.0
878.4666666666667,881.0666666666666,1001,394865,True,2002.0
881.0666666666666,882.2666666666667,1069,410792,True,2138.0
882.2666666666667,883.7333333333333,943,259101,True,1886.0
883.7333333333333,886.0666666666666,945,201818,True,1890.0
886.0666666666666,892.3333333333334,1012,632813,True,2024.0
892.3333333333334,905.1999999999999,995,614134,True,1990.0
905.1999999999999,906.8,990,413796,True,1980.0
906.8,908.1333333333333,995,226647,True,1990.0
908.1333333333333,911.1333333333333,815,475376,True,1630.0
911.1333333333333,911.6666666666666,611,468146,True,1222.0
911.6666666666666,916.4,1774,527706,True,3548.0
916.4,925.8,1013,945642,True,2026.0
925.8,927.4,1063,472043,True,2126.0
927.4,928.4,1060,491315,True,2120.0
928.4,931.6,1173,505347,True,2346.0
931.6,935.8,967,455678,True,1934.0
935.8,936.7333333333333,757,368356,True,1514.0
936.7333333333333,945.7333333333333,655,728158,True,1310.0
945.7333333333333,962.7333333333333,2307,1370077,True,4614.0
962.7333333333333,963.8,2069,408215,True,4138.0
963.8,964.6,1892,234198,False,3784.0
964.6,967.2666666666667,1899,544438,True,3798.0
967.2666666666667,970.5333333333333,1464,507275,True,2928.0
970.5333333333333,971.6,2329,478173,True,4658.0
971.6,977.1999999999999,1595,967078,True,3190.0
977.1999999999999,978.0666666666666,3016,565110,True,6032.0
978.0666666666666,979.7333333333333,2347,430803,True,4694.0
979.7333333333333,981.8666666666667,999,677609,True,1998.0
981.8666666666667,986.8666666666667,1063,1147488,True,2126.0
986.8666666666667,987.9333333333333,304,223447,True,608.0
987.9333333333333,989.7333333333333,291,678932,True,582.0
989.7333333333333,992.0,498,357941,True,996.0
992.0,992.5333333333333,125,466370,True,250.0
992.5333333333333,994.5333333333333,1076,656189,True,2152.0
994.5333333333333,996.4666666666667,1085,254914,True,2170.0
996.4666666666667,997.0,1513,301178,True,3026.0
997.0,1006.2666666666667,568,1062994,True,1136.0
1006.2666666666667,1008.4666666666667,434,295387,True,868.0
1008.4666666666667,1009.4,883,336435,True,1766.0
1009.4,1012.9333333333333,1162,410981,True,2324.0
1012.9333333333333,1016.0,920,717219,True,1840.0
